Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,Time(ms),nblock,state,exp,,,,
"test(int, int, int)",2775411903,114814797,1,1,1,1024,1,1,37,304,6352,114.814797,235,347,,,,,
"test(int, int, int)",2775411967,121899831,1,1,1,1024,1,1,37,304,6352,121.899831,236,296,,,,,
"test(int, int, int)",2775412095,116657197,1,1,1,1024,1,1,37,304,6352,116.657197,237,604,,,,,
"test(int, int, int)",2775412095,108613060,1,1,1,1024,1,1,37,304,6352,108.61306,238,308,,,,,
"test(int, int, int)",2775412255,119355471,1,1,1,1024,1,1,37,304,6352,119.355471,239,374,,,,,
"test(int, int, int)",2775412351,110510690,1,1,1,1024,1,1,37,304,6352,110.51069,240,605,,,,,
"test(int, int, int)",2775429822,116603151,1,1,1,1024,1,1,37,304,6352,116.603151,241,376,,,,,
"test(int, int, int)",2775430878,128548656,1,1,1,1024,1,1,37,304,6352,128.548656,242,381,,,,,
"test(int, int, int)",2775448158,111357061,1,1,1,1024,1,1,37,304,6352,111.357061,243,371,,,,,
"test(int, int, int)",2775536283,123972558,1,1,1,1024,1,1,37,304,6352,123.972558,244,369,,,,,
"test(int, int, int)",2775556954,118036957,1,1,1,1024,1,1,37,304,6352,118.036957,245,364,,,,,
"test(int, int, int)",2904345825,90118951,1,1,1,1024,1,1,37,304,6352,90.118951,246,355,,,,,
"test(int, int, int)",2904345953,91795661,1,1,1,1024,1,1,37,304,6352,91.795661,247,376,,,,,
"test(int, int, int)",2904346081,100542397,1,1,1,1024,1,1,37,304,6352,100.542397,248,370,,,,,
"test(int, int, int)",2904346209,104535826,1,1,1,1024,1,1,37,304,6352,104.535826,249,235,,,,,
"test(int, int, int)",2904406495,93272217,1,1,1,1024,1,1,37,304,6352,93.272217,250,231,,,,,
"test(int, int, int)",2904459485,95879007,1,1,1,1024,1,1,37,304,6352,95.879007,251,368,,,,,
